File,field_identifier,title,field_description,field_extent,field_edtf_date,field_rights
BOOK,beautiful_landscapes_01,Beautiful Landscape Photos,Photos of beautiful landscapes. Cover by Ian Turnell --https://www.pexels.com/photo/body-of-water-between-green-leaf-trees-709552/,9 Pages,3/27/19, All photos on Pexels can be used for free for commercial and noncommercial use.  https://www.pexels.com/photo-license/
Page,beautiful_landscapes_02,Page 02,Cabin on a lake with mountains in background by Francesco Ungaro -- https://www.pexels.com/photo/mirror-lake-reflecting-wooden-house-in-middle-of-lake-overlooking-mountain-ranges-147411/,,,
Page,beautiful_landscapes_03,Page 03,Photo of a tractor during sunset by Tabitha Mort -- https://www.pexels.com/photo/photo-of-ride-on-tractor-during-sunset-693857/,,,
Page,beautiful_landscapes_04,Page 04,Lake with a bridge by Pixabay -- https://www.pexels.com/photo/green-leafed-tree-besides-body-of-water-during-daytime-158063/,,,
Page,beautiful_landscapes_05,Page 05,Field of flowers with solitary tree with mountains in background by Pixabay -- https://www.pexels.com/photo/landscape-nature-night-relaxation-36478/,,,
Page,beautiful_landscapes_06,Page 06,Mountain lake with cabin by Pixabay -- https://www.pexels.com/photo/clouds-country-daylight-grass-371633/,,,
Page,beautiful_landscapes_07,Page 07,Bridge over a stream by Tookapic -- https://www.pexels.com/photo/pond-park-lake-nature-8595/,,,
Page,beautiful_landscapes_08,Page 08,Mountain and stream at sunset by Pixabay -- https://www.pexels.com/photo/green-mountain-near-river-under-cloudy-sky-during-daytime-247478/,,,
Page,beautiful_landscapes_09,Page 09,Country house setting by Lisa Fotios -- https://www.pexels.com/photo/green-trees-under-blue-and-orange-sky-during-sunset-1107717/,,,
